weight Time Rat Diet
240 1 A a
250 8 A a
255 15 A a
260 22 A a
262 29 A a
258 36 A a
266 43 A a
266 44 A a
265 50 A a
272 57 A a
278 64 A a
225 1 B a
230 8 B a
230 15 B a
232 22 B a
240 29 B a
240 36 B a
243 43 B a
244 44 B a
238 50 B a
247 57 B a
245 64 B a
245 1 C a
250 8 C a
250 15 C a
255 22 C a
262 29 C a
265 36 C a
267 43 C a
267 44 C a
264 50 C a
268 57 C a
269 64 C a
260 1 D a
255 8 D a
255 15 D a
265 22 D a
265 29 D a
268 36 D a
270 43 D a
272 44 D a
274 50 D a
273 57 D a
275 64 D a
255 1 E a
260 8 E a
255 15 E a
270 22 E a
270 29 E a
273 36 E a
274 43 E a
273 44 E a
276 50 E a
278 57 E a
280 64 E a
260 1 F a
265 8 F a
270 15 F a
275 22 F a
275 29 F a
277 36 F a
278 43 F a
278 44 F a
284 50 F a
279 57 F a
281 64 F a
275 1 G a
275 8 G a
260 15 G a
270 22 G a
273 29 G a
274 36 G a
276 43 G a
271 44 G a
282 50 G a
281 57 G a
284 64 G a
245 1 H a
255 8 H a
260 15 H a
268 22 H a
270 29 H a
265 36 H a
265 43 H a
267 44 H a
273 50 H a
274 57 H a
278 64 H a
410 1 I b
415 8 I b
425 15 I b
428 22 I b
438 29 I b
443 36 I b
442 43 I b
446 44 I b
456 50 I b
468 57 I b
478 64 I b
405 1 J b
420 8 J b
430 15 J b
440 22 J b
448 29 J b
460 36 J b
458 43 J b
464 44 J b
475 50 J b
484 57 J b
496 64 J b
445 1 K b
445 8 K b
450 15 K b
452 22 K b
455 29 K b
455 36 K b
451 43 K b
450 44 K b
462 50 K b
466 57 K b
472 64 K b
555 1 L b
560 8 L b
565 15 L b
580 22 L b
590 29 L b
597 36 L b
595 43 L b
595 44 L b
612 50 L b
618 57 L b
628 64 L b
470 1 M c
465 8 M c
475 15 M c
485 22 M c
487 29 M c
493 36 M c
493 43 M c
504 44 M c
507 50 M c
518 57 M c
525 64 M c
535 1 N c
525 8 N c
530 15 N c
533 22 N c
535 29 N c
540 36 N c
525 43 N c
530 44 N c
543 50 N c
544 57 N c
559 64 N c
520 1 O c
525 8 O c
530 15 O c
540 22 O c
543 29 O c
546 36 O c
538 43 O c
544 44 O c
553 50 O c
555 57 O c
548 64 O c
510 1 P c
510 8 P c
520 15 P c
515 22 P c
530 29 P c
538 36 P c
535 43 P c
542 44 P c
550 50 P c
553 57 P c
569 64 P c
