male math langarts daysabs
1 56.98883 42.45086 4
1 37.09416 46.82059 4
0 32.27546 43.56657 2
0 29.05672 43.56657 3
0 6.748048 27.24847 3
0 61.65428 48.41482 13
0 56.98883 40.73543 11
1 10.39049 15.35938 7
1 50.52795 52.11514 10
1 49.47205 42.45086 9
0 39.55739 36.45115 4
1 33.73761 13.13055 5
0 62.90584 62.27464 5
0 65.56011 44.66451 3
1 23.01052 25.25478 1
1 75.83068 61.04388 0
0 41.31353 49.47205 1
0 41.88515 65.56011 0
1 65.56011 46.82059 2
1 13.13055 6.748048 24
0 33.01677 42.45086 2
1 55.88246 64.87473 0
1 45.2079 55.33549 1
1 56.98883 44.66451 0
0 31.5115 38.34572 8
1 52.64643 50 3
1 17.25647 6.748048 7
0 33.01677 40.15026 0
1 61.04388 57.54914 2
1 66.98323 71.82729 0
1 1.007114 45.2079 0
0 38.34572 35.12527 1
1 44.66451 46.82059 3
1 44.11754 46.82059 0
1 59.84974 46.28556 0
0 32.27546 47.35357 28
1 23.01052 49.47205 8
1 70.94328 61.04388 5
1 1.007114 1.007114 2
0 41.88515 52.11514 27
0 40.15026 35.12527 5
0 41.31353 38.34572 18
0 44.66451 58.68647 19
1 38.34572 42.45086 9
1 32.27546 1.007114 9
0 37.09416 32.27546 4
1 63.54885 57.54914 2
1 43.56657 41.31353 3
1 33.01677 24.16932 9
0 68.48849 59.26457 20
1 29.05672 21.7637 6
1 54.7921 54.7921 0
1 48.94376 51.58518 27
0 52.64643 50.52795 12
0 13.13055 32.27546 34
1 53.71444 41.88515 1
1 15.35938 32.27546 25
1 10.39049 17.25647 5
0 34.43988 38.34572 3
0 41.88515 42.45086 2
1 40.73543 55.33549 1
0 37.09416 52.64643 7
1 26.2782 26.2782 4
1 47.88486 36.45115 8
0 38.95612 55.88246 6
1 40.15026 47.35357 16
0 36.45115 40.15026 3
0 27.24847 39.55739 4
0 39.55739 43.56657 3
0 48.94376 36.45115 5
1 62.27464 46.28556 0
1 66.98323 59.84974 9
1 28.17271 59.84974 0
1 35.12527 37.09416 8
0 52.64643 70.09472 0
0 26.2782 35.12527 11
1 41.31353 42.45086 4
1 59.26457 71.82729 2
1 1.007114 17.25647 35
0 33.01677 41.88515 23
0 40.73543 42.45086 13
1 66.26239 64.87473 6
0 70.94328 45.74812 0
1 54.7921 60.44261 6
1 64.20476 50.52795 0
1 33.73761 40.15026 8
0 49.47205 44.66451 11
0 26.2782 73.72179 11
1 70.94328 54.25188 4
1 37.09416 41.31353 6
0 37.09416 49.47205 23
0 61.04388 69.27759 5
1 86.86945 86.86945 5
0 61.04388 64.20476 26
0 23.01052 6.748048 7
1 27.24847 35.12527 1
1 32.27546 46.82059 9
1 24.16932 17.25647 11
1 45.74812 50 18
1 6.748048 13.13055 12
1 35.12527 27.24847 3
1 43.01117 28.17271 0
1 26.2782 13.13055 4
1 10.39049 29.05672 10
1 61.04388 66.26239 16
0 37.09416 51.58518 1
0 1.007114 1.007114 9
0 55.88246 45.2079 3
1 46.82059 38.34572 0
1 41.88515 56.98883 9
1 66.26239 35.79525 14
0 10.39049 38.95612 7
1 33.01677 40.15026 3
1 36.45115 20.40919 10
1 46.82059 65.56011 12
0 48.41482 34.43988 6
0 41.88515 41.88515 35
0 20.40919 25.25478 13
0 73.72179 74.74522 3
1 10.39049 40.15026 10
1 17.25647 20.40919 6
1 75.83068 64.87473 0
1 26.2782 23.01052 2
1 70.94328 82.74353 6
1 76.98948 68.48849 5
0 61.65428 58.11485 13
0 28.17271 6.748048 4
0 45.2079 48.94376 5
0 56.98883 65.56011 3
0 41.31353 48.94376 30
0 47.35357 46.82059 16
0 38.34572 43.01117 15
0 10.39049 6.748048 12
1 41.88515 36.45115 1
1 40.15026 38.95612 1
1 33.73761 35.79525 7
0 68.48849 52.64643 1
0 98.99289 64.20476 45
0 62.90584 43.01117 10
1 60.44261 36.45115 3
0 37.09416 10.39049 27
0 26.2782 33.01677 2
0 64.87473 53.71444 13
0 18.91984 29.05672 2
1 54.7921 47.88486 5
0 38.34572 38.95612 5
0 53.71444 52.11514 4
0 46.82059 51.58518 3
0 51.58518 71.82729 20
0 34.43988 40.15026 12
0 38.34572 44.66451 31
1 44.66451 40.73543 6
1 49.47205 31.5115 14
0 43.56657 46.82059 13
1 39.55739 49.47205 6
0 33.01677 47.35357 12
1 20.40919 29.05672 12
1 43.01117 34.43988 0
1 51.58518 43.56657 1
